ICD9dx,CCS Category,CCS Category Description
'65363','188  ','Pelvic obstr'
'65370','188  ','Pelvic obstr'
'65371','188  ','Pelvic obstr'
'65373','188  ','Pelvic obstr'
'65380','188  ','Pelvic obstr'
'65381','188  ','Pelvic obstr'
'65383','188  ','Pelvic obstr'
'65390','188  ','Pelvic obstr'
'65391','188  ','Pelvic obstr'
'65393','188  ','Pelvic obstr'
'66010','188  ','Pelvic obstr'
'66011','188  ','Pelvic obstr'
'66013','188  ','Pelvic obstr'
'66020','188  ','Pelvic obstr'
'66021','188  ','Pelvic obstr'
'66023','188  ','Pelvic obstr'
'66030','188  ','Pelvic obstr'
'66031','188  ','Pelvic obstr'
'66033','188  ','Pelvic obstr'
'66040','188  ','Pelvic obstr'
'66041','188  ','Pelvic obstr'
'66043','188  ','Pelvic obstr'
'66050','188  ','Pelvic obstr'
'66051','188  ','Pelvic obstr'
'66053','188  ','Pelvic obstr'
'66060','188  ','Pelvic obstr'
'66061','188  ','Pelvic obstr'
'66063','188  ','Pelvic obstr'
'66070','188  ','Pelvic obstr'
'66071','188  ','Pelvic obstr'
'66073','188  ','Pelvic obstr'
'66080','188  ','Pelvic obstr'
'66081','188  ','Pelvic obstr'
'66083','188  ','Pelvic obstr'
'66090','188  ','Pelvic obstr'
'66091','188  ','Pelvic obstr'
'66093','188  ','Pelvic obstr'
'67810','188  ','Pelvic obstr'
'67811','188  ','Pelvic obstr'
'67813','188  ','Pelvic obstr'
'65420','189  ','Prev c-sectn'
'65421','189  ','Prev c-sectn'
'65423','189  ','Prev c-sectn'
'65630','190  ','Fetal distrs'
'65631','190  ','Fetal distrs'
'65633','190  ','Fetal distrs'
'66100','190  ','Fetal distrs'
'66101','190  ','Fetal distrs'
'66103','190  ','Fetal distrs'
'66110','190  ','Fetal distrs'
'66111','190  ','Fetal distrs'
'66113','190  ','Fetal distrs'
'66120','190  ','Fetal distrs'
'66121','190  ','Fetal distrs'
'66123','190  ','Fetal distrs'
'66130','190  ','Fetal distrs'
'66131','190  ','Fetal distrs'
'66133','190  ','Fetal distrs'
'66140','190  ','Fetal distrs'
'66141','190  ','Fetal distrs'
'66143','190  ','Fetal distrs'
'66190','190  ','Fetal distrs'
'66191','190  ','Fetal distrs'
'66193','190  ','Fetal distrs'
'66200','190  ','Fetal distrs'
'66201','190  ','Fetal distrs'
'66203','190  ','Fetal distrs'
'66210','190  ','Fetal distrs'
'66211','190  ','Fetal distrs'
'66213','190  ','Fetal distrs'
'66220','190  ','Fetal distrs'
'66221','190  ','Fetal distrs'
'66223','190  ','Fetal distrs'
'66230','190  ','Fetal distrs'
'66231','190  ','Fetal distrs'
'66233','190  ','Fetal distrs'
'65700','191  ','Amnios dx'
'65701','191  ','Amnios dx'
'65703','191  ','Amnios dx'
'65800','191  ','Amnios dx'
'65801','191  ','Amnios dx'
'65803','191  ','Amnios dx'
'65810','191  ','Amnios dx'
'65811','191  ','Amnios dx'
'65813','191  ','Amnios dx'
'65820','191  ','Amnios dx'
'65821','191  ','Amnios dx'
'65823','191  ','Amnios dx'
'65830','191  ','Amnios dx'
'65831','191  ','Amnios dx'
'65833','191  ','Amnios dx'
'65840','191  ','Amnios dx'
'65841','191  ','Amnios dx'
'65843','191  ','Amnios dx'
'65880','191  ','Amnios dx'
'65881','191  ','Amnios dx'
'65883','191  ','Amnios dx'
'65890','191  ','Amnios dx'
'65891','191  ','Amnios dx'
'65893','191  ','Amnios dx'
'7923 ','191  ','Amnios dx'
'66300','192  ','Umbil cord'
'66301','192  ','Umbil cord'
'66303','192  ','Umbil cord'
'66310','192  ','Umbil cord'
'66311','192  ','Umbil cord'
'66313','192  ','Umbil cord'
'66320','192  ','Umbil cord'
'66321','192  ','Umbil cord'
'66323','192  ','Umbil cord'
'66330','192  ','Umbil cord'
'66331','192  ','Umbil cord'
'66333','192  ','Umbil cord'
'66340','192  ','Umbil cord'
'66341','192  ','Umbil cord'
'66343','192  ','Umbil cord'
'66350','192  ','Umbil cord'
'66351','192  ','Umbil cord'
'66353','192  ','Umbil cord'
'66360','192  ','Umbil cord'
'66361','192  ','Umbil cord'
'66363','192  ','Umbil cord'
'66380','192  ','Umbil cord'
'66381','192  ','Umbil cord'
'66383','192  ','Umbil cord'
'66390','192  ','Umbil cord'
'66391','192  ','Umbil cord'
'66393','192  ','Umbil cord'
'66400','193  ','OB-related perin trauma'
'66401','193  ','OB-related perin trauma'
'66404','193  ','OB-related perin trauma'
'66410','193  ','OB-related perin trauma'
'66411','193  ','OB-related perin trauma'
'66414','193  ','OB-related perin trauma'
'66420','193  ','OB-related perin trauma'
'66421','193  ','OB-related perin trauma'
'66424','193  ','OB-related perin trauma'
'66430','193  ','OB-related perin trauma'
'66431','193  ','OB-related perin trauma'
'66434','193  ','OB-related perin trauma'
